単語,意味
bag,カバン
pencil,鉛筆
notebook,ノートブック
desk,机
table,テーブル
homework,宿題
diary,日記
piano,ピアノ
hand,手
rose,バラ
chair,いす
bat,バット
fish,魚
dog,犬
watch,腕時計
mitt,ミット
milk,牛乳
flower,花
door,ドア
egg,卵
boat,ボート
orange,オレンジ
bird,鳥
sheep,羊
cup,カップ
bus,バス
apple,りんご
fruit,果物
car,自動車
cake,ケーキ
picture,絵，写真
cat,猫
stamp,切手
plane,飛行機
book,本
racket,ラケット
glass,コップ，ガラス
bed,ベッド
letter,手紙
tape,テープ
cap,帽子
mail,郵便
box,箱
doll,人形
tree,木
pen,（ボール）ペン
map,地図
cow,うし
pot,ポット
camera,カメラ
lemon,レモン
bread,パン
girl,少女
man,男の人、人
woman,女性
father,父
mother,母
brother,兄弟
sister,姉妹
doctor,医者
pilot,パイロット
cook,料理人
parents,両親
uncle,おじ
aunt,おば
boy,少年
son,息子
nurse,看護婦
friend,友人
student,学生
clerk,店員
family,家族
teacher,先生
player,選手，演奏者
singer,歌手
daughter,娘
city,市，都会
window,窓
church,教会
school,学校
yard,中庭
bank,銀行，土手
library,図書館
hospital,病院
hotel,ホテル
village,町、村
kitchen,台所
wall,壁
park,公園
country,国，いなか，地方
office,事務所
garden,庭
town,街、町
citizen,市民
floor,床，階
store,店
station,駅
house,家
field,野原，競技場
Japan,日本
gate,門
room,部屋
walk,散歩
work,仕事，作品
basketball,バスケットボール
baseball,野球
tennis,テニス
present,プレゼント
way,道，方法
chance,機会
thing,こと・物
name,名前
science,科学
subject,科目，題目
color,色
line,線，列
place,場所
like,好む
look,見る，
look,〜に見える
read,読む
drink,飲む
walk,歩く
wash,洗う
run,走る
stop,止める，
stop,止まる
have,持っている
have,食べる
wait,待つ
collect,集める
send,送る
come,来る
want,欲しい
do,する
make,作る，〜を〜にする
ride,乗る
enjoy,楽しむ
play,遊ぶ
play,(スポーツを)をする
play,演奏する
sing,歌う
speak,話す
cook,料理する
swim,泳ぐ
write,書く，手紙を書く
catch,捕まえる，
catch,(列車に)間に合う
open,開ける
move,動く，
move,感動させる
help,助ける
buy,買う
leave,去る，残す，置いて行く
meet,会う
live,住む，生きる
work,働く
go,行く
know,知っている
study,勉強する
eat,食べる
learn,学ぶ，覚える
stand,立つ
dance,おどる
sell,売る
arrive,到着する
get,得る，着く，乗る
put,置く
stay,滞在する
try,試す
give,与える，(会などを)開く
use,使う
visit,訪問する
need,必要とする
happy,幸福な
happy,楽しい
busy,忙しい
sorry,ごめんなさい、残念な
honest,正直な
poor,貧乏な，かわいそうな
poor,不十分な
later,後で
soon,すぐに
yesterday,昨日
o’clock,〜時
already,すでに
up,上へ
there,そこに
well,よく，じょうずに
so,そんなに
slowly,ゆっくりと
yet,まだ
yet,(〜でない)
why,なぜ
best,一番良い
bad,悪い
clean,きれいな
fast,速い
large,大きい，広い
easy,やさしい，気楽に
tall,背の高い
some,いくつかの
early,早い
this,この
those,あれらの
warm,温暖な
cool,涼しい
new,新しい
short,短い，背が低い
little,小さい，幼い，ちょっとした
dark,暗い，黒い
old,年をとった，古い
careful,注意深い
junior,年下の，
junior,下級の
hungry,空腹の
ill,病気の
usually,ふつう
today,今日，現在
fast,速く
now,今
ago,前
where,どこに
home,家を(へ)
much,ずっと，たいへん
yes,はい
also,もまた
not,〜でない
together,一緒に
sick,病気で(の)
kind,親切な
glad,うれしい
good,良い
young,若い
sometimes,時々
often,しばしば
early,早く
always,いつも
again,再び
far,遠くに，はるかに
here,ここに
very,非常に
how,どのくらい
too,〜もまた，
too,〜すぎる
no,いいえ
beautiful,美しい
next,次の，隣の
long,長い
rich,金持ちの，
rich,豊かな
able,できる，
able,有能な
hot,暑い
small,小さな
white,白い
black,黒い
`true,ほんとうの
many,多量の
every,毎〜
many,多くの
cold,冷たい，寒い
famous,有名な
blue,青い
sad,悲しい
high,高い
slow,遅い
nice,良い
these,これらの
all,すべての
that,あの
red,赤い
green,緑の
strong,強い，じょうぶな
big,大きい
fine,すばらしい，
fine,元気な，晴れた
evening,晩
morning,朝
night,夜
noon,正午
tomorrow,明日
time,時，〜回
afternoon,午後
meal,食事
breakfast,朝食
lunch,昼食
dinner,夕食
supper,夕食
season,季節
spring,春
summer,夏
autumn,秋
fall,秋
winter,冬
minute,分
minute,ちょっとの間
week,週
month,月
year,年
hour,時間
day,日
January（JAN),１月
February（FEB）,２月
March（MAR),３月
April（APR),４月
May（MAY),５月
June（JUN),６月
July（JUL),７月
August（AUG),８月
September（SEP),９月
October（OCT),１０月
November（NOV),１１月
December（DEC),１２月
