単語,意味 
a,1つの、1人の
about,について、に関する
afternoon,午後
again,もう一度、再び、また
airplane,飛行機
all,全部、全員、全て、みな
always,いつも
am,いる、ある
and,そして、それから
and so on,などなど
animal,動物
apple,リンゴ
April,4月
at,で、に
August,8月
autumn,秋
bag,カバン
baseball,野球
bath,風呂、入浴
be,である
beach,砂浜
bean,豆
bear,クマ
beautiful,美しい
beef,牛肉
best,一番良い
bicycle,自転車
big,大きい
bike,自転車
bird,鳥
birthday,誕生日
black,黒い
blue,青い
body,身体
book,本
bookstore,本屋
box,箱
boy,少年
bread,パン
breakfast,朝食
bridge,橋
brother,兄弟
brown,茶色の
brush,をみがく
busy,忙しい
buy,買う
by,のそばに、によって
cake,ケーキ
can,することができる
cap,帽子
car,自動車
cat,猫
chair,いす
chicken,鶏肉
city,市
classmate,同級生
classroom,教室
clean,きれいな
clock,置き時計
clothes,服
cloudy,曇った
cold,冷たい
color,色
cook,料理する
cool,かっこいい
country,国
cow,ウシ
cup,カップ
cute,可愛い
date,日付
day,日
December,１２月
delicious,おいしい
desk,机
dictionary,辞書
different,違う
difficult,むずかしい
dinner,夕食
dish,皿
do,する
doctor,医者
dog,イヌ
down,下に
drama,劇
draw,描く
dream,夢
drink,飲む
drum,太鼓
ear,耳
easy,簡単な
eat,食べる
egg,卵
eight,8
eighteen,18
eighty,80
elementary school,小学校
eleven,11
English,英語
enjoy,楽しむ
evening,夕方
event,出来事
everyone,みんな
exciting,興奮させる
excuse,許す
eye,目
face,顔
fall,秋
family,家族
famous,有名な
farmer,農場主
fast,速い
father,父
favorite,お気に入りの
February,2月
festival,祭り
fifteen,15
fifty,50
fine,元気な
first,1番目
fish,魚
five,5
flower,花
food,食べ物
for,のために
forty,40
four,4
fourteen,14
Friday,金曜日
friend,友達
frog,カエル
from,〜から
fruit,果物
fun,楽しみ
funny,おかしな
future,未来
garbage,ゴミ
get,得る
girl,少女
go,行く
good,良い
grandfather,祖父
grandmother,祖母
grape,ブドウ
great,すばらしい、広大な
green,緑
guess,推測する
hand,手
happy,幸福な
hard,一生懸命に
hard,かたい
hat,帽子
have,持っている
he,彼は
head,頭
heart,心臓、 心
help,助ける
here,ここに
homework,宿題
horse,馬
hospital,病院
hot,暑い
house,家
how,どのぐらい
hundred,百
hungry,空腹の
I,私は
in,中に
interesting,おもしろい
is,ある、いる
island,島
it,それは
January,1月
Japan,日本
Japanese,日本人
job,仕事
join,参加する
July,7月
jump,跳ぶ
June,6月
kind,親切な
king,王様
knee,ひざ
know,知っている
lake,湖
large,大きい、広い
leave,去る、残す、置いて行く
left,左
leg,脚
let's,さあ〜しよう
library,図書館
life,生活
like,好む
listen,聴く
live,住む
long,長い
look,見る
luck,運
lunch,昼食
make,作る、〜を〜にする
many,多くの
map,地図
March,3月
math,数学
May,５月
me,私に
meet,会う
memory,記憶
Monday,月曜日
monkey,サル
month,月
morning,朝
mother,母
mountain,山
mouse,ネズミ
mouth,口
much,たくさん
museum,美術館
musician,音楽家
my,私の
name,名前
nature,自然
never,１度も〜ない
new,新しい
newspaper,新聞
nice,良い
night,夜
nine,9
nineteen,19
ninety,90
nose,鼻
not,〜でない
November,11月
number,数
nurse,看護婦
October,10月
old,古い
on,の上に
one,1
our,私たちの
out,外に
park,公園
pencil,鉛筆
picture,絵、写真
pig,ブタ
place,場所
play,する、演奏する
player,選手
please,どうぞ
practice,練習する
purple,紫色
put,置く
queen,女王
rabbit,ウサギ
rainy,雨降りの
read,読む
reading,読書
really,本当に
red,赤い
ride,乗る
right,右
river,川
room,部屋
ruler,定規
run,走る
sad,悲しい
salad,サラダ
same,同じ
Saturday,土曜日
school,学校
science,科学
scientist,科学者
sea,海
season,季節
second,2番目
see,見る、わかる
September,９月
seven,7
seventeen,17
seventy,70
she,彼女は
sheep,ヒツジ
ship,船
shop,店
shopping,買物
short,短い
shoulder,肩
sing,歌う
sister,姉妹
sit,座る
six,6
sixteen,16
sixty,60
sleep,眠る
small,小さい
snake,蛇
snowy,雪の降る
soft,柔らかい
sometimes,時々
sorry,ごめんなさい
soup,スープ
speak,話す
spell,をつづる
sport,スポーツ
spring,春
stand,立つ
star,星、スター
station,駅
stop,止める
straight,まっすぐに
street,通り
strong,強い
study,勉強する
subject,科目、題目
subway,地下鉄
summer,夏
Sunday,日曜日
sunny,晴れた
supermarket,スーパー
sweet,甘い
swim,泳ぐ
table,つくえ
take,写真を撮る、(時間が)かかる
talk,話す
tea,お茶
teach,教える
teacher,先生
telephone,電話
temple,お寺
ten,10
textbook,教科書
that,あれ
the,その
think,思う
third,3番目
thirteen,13
thirty,30
this,この
three,3
Thursday,木曜日
tiger,トラ
time,時、〜回
tired,疲れた
to,〜へ
together,一緒に
too,〜もまた
tooth,歯
tower,塔
town,街
train,列車
travel,旅行
tree,木
trip,旅行
try,試す
Tuesday,火曜日
turn,曲がる、回る、変化する
twelve,12
twenty,20
two,2
umbrella,傘
under,下の
up,上へ
use,使う
usually,普通は
vacation,休暇
vegetable,野菜
very,非常に
visit,訪問する
walk,散歩
wall,壁
want,欲しい
was,でした
wash,洗う
watch,見る
water,水
way,道、方法
we,私たちは
weather,天気
Wednesday,水曜日
welcome,歓迎する
well,よく、じょうずに
what,何
when,いつ
where,どこに
white,白
who,だれ
why,なぜ
window,窓
winter,冬
with,といっしょに
wonderful,すばらしい
world,世界、地球
write,書く、手紙を書く
year,年
yellow,黄色
you,あなたは
your,あなたの
zoo,動物園
